ID,Start time,Completion time,Email,Name,U1,B1,U2,B2,U3,B3,U4,B4,U5,B5,U6,B6,U7,B7,U8,B8,U9,B9,"How much do you agree with the following statement: I am familiar
with the social media network Twitter.",How often do you use Twitter?,How effective do you believe emojis are at expressing one’s emotion?,How impactful do you scale the presence of emojis while interpreting messages that you receive?
,,,,,I,I,C,C,C,C,N,N,I,I,N,N,I,I,N,N,C,C,,,,
1,11/30/22 17:42:54,11/30/22 17:44:24,anonymous,,5,3,4,4,7,6,6,6,6,6,6,4,6,4,7,7,7,7,4,Rarely,5,4
2,11/30/22 17:49:18,11/30/22 17:51:45,anonymous,,7,1,7,7,7,7,7,7,6,1,7,1,7,4,7,7,7,7,5,Rarely,5,5
3,11/30/22 17:48:44,11/30/22 17:52:36,anonymous,,6,4,7,7,7,7,6,4,7,7,7,7,5,3,7,7,7,6,1,Rarely,3,5
4,11/30/22 17:49:13,11/30/22 17:53:30,anonymous,,5,7,7,6,7,4,7,6,5,4,6,6,6,5,7,7,7,6,3,Never,4,5
5,11/30/22 17:52:04,11/30/22 17:57:10,anonymous,,6,5,4,4,2,6,6,7,6,2,6,6,6,3,6,7,5,3,3,Never,4,4
6,11/30/22 17:55:30,11/30/22 17:57:33,anonymous,,7,7,7,7,7,1,7,7,7,7,7,1,7,4,7,4,7,4,4,Never,5,5
7,11/30/22 18:06:06,11/30/22 18:08:05,anonymous,,7,6,6,5,7,7,6,5,7,7,7,7,7,6,7,7,7,6,3,Never,4,4
8,11/30/22 18:08:01,11/30/22 18:11:09,anonymous,,7,3,7,7,7,4,7,3,4,4,7,6,7,6,6,6,7,4,3,Rarely,4,4
9,11/30/22 18:16:22,11/30/22 18:19:44,anonymous,,5,6,6,6,5,4,6,6,5,5,5,5,4,4,6,6,5,5,3,Rarely,5,4
10,11/30/22 18:18:57,11/30/22 18:22:13,anonymous,,6,4,7,6,4,3,6,4,3,1,3,1,3,1,4,1,5,3,1,Never,3,2
11,11/30/22 18:24:08,11/30/22 18:32:46,anonymous,,7,3,7,6,7,6,7,3,4,7,5,7,7,4,7,7,7,7,3,Rarely,3,4
12,11/30/22 18:35:18,11/30/22 18:37:32,anonymous,,5,4,7,6,7,4,5,4,6,5,6,6,7,5,7,4,6,4,4,Never,5,5
13,11/30/22 19:19:08,11/30/22 19:25:33,anonymous,,7,7,7,7,6,5,7,7,6,5,6,4,6,5,5,5,7,7,3,Never,5,5
14,11/30/22 19:36:22,11/30/22 19:38:16,anonymous,,7,7,7,7,7,6,7,7,6,6,6,6,6,5,6,5,7,6,4,Rarely,4,2
